date,open,high,low,close,volume,adjClose
2013-05-20,9307.15,9405.06,9265.68,9304.86,000,9304.86
2013-05-13,9014.28,9246.28,8809.08,9246.28,000,9246.28
2013-05-06,8997.08,9074.84,8997.08,9071.16,000,9071.16
2013-05-02,8718.20,8847.67,8718.20,8847.67,000,8847.67
2013-04-22,9057.62,9057.62,8691.39,8691.39,000,8691.39
2013-04-15,8733.44,9111.19,8733.44,9111.19,000,9111.19
2013-04-08,8953.84,8993.11,8835.15,8835.15,000,8835.15
2013-04-01,8937.75,8964.47,8937.75,8964.47,000,8964.47
2013-03-25,9313.13,9313.13,8889.77,8889.77,000,8889.77
2013-03-18,8999.02,9343.41,8999.02,9343.41,000,9343.41
2013-03-11,9277.16,9277.16,9073.22,9099.29,000,9099.29
2013-03-04,9139.75,9431.17,9139.75,9285.83,000,9285.83
2013-02-25,9342.37,9650.14,9208.03,9650.14,000,9650.14
2013-02-18,9795.91,9795.91,9364.54,9364.54,000,9364.54
2013-02-04,9760.83,9989.09,9760.83,9989.09,000,9989.09
2013-01-28,9618.92,9820.29,9618.92,9820.29,000,9820.29
2013-01-21,9562.85,9562.85,9357.13,9357.13,000,9357.13
2013-01-14,9316.27,9432.29,9309.23,9432.29,000,9432.29
2013-01-07,9108.46,9170.05,9017.73,9017.73,000,9017.73
2012-12-31,9116.48,9116.48,9096.07,9096.07,000,9096.07
2012-12-24,8631.37,9026.99,8631.37,9026.99,000,9026.99
2012-12-17,8600.33,8693.23,8592.63,8658.35,000,8658.35
2012-12-10,8265.79,8530.90,8171.35,8530.90,000,8530.90
2012-12-03,7710.88,8189.68,7710.88,8189.68,000,8189.68
2012-11-26,8016.07,8016.07,7808.96,7903.25,000,7903.25
2012-11-07,9108.46,9170.05,9017.73,9017.73,000,9017.73
